device_id,device_type,firmware_version,packet_size,payload_entropy,connection_duration,request_rate,response_time,bytes_sent,bytes_received,failed_auth_attempts,abnormal_port_access,signal_strength,cpu_usage,memory_usage,temperature,sensor_value,KF_packet_size,KF_entropy,KF_response_time,attack_type,class_label
310,thermostat,v2.1,3338,3.0103734624773324,6.173682715966163,127.01461966063172,243.67222218321865,59654,9348,4,1,-88.69188124021942,5.136444731179795,29.571996487274205,69.89438012069442,237.1721885986523,3338.0,3.0103734624773324,243.67222218321865,counterfeit,2
482,robotic_arm,v2.1,2420,6.022909151462461,7.789463163123956,128.04159242793082,144.0846079477921,23018,46523,6,0,-71.62143578662416,50.23569247629993,63.38946700265751,89.35929168531543,366.90904691781566,2900.831748281853,4.444997602338065,196.2467938519739,compromised,1
815,robotic_arm,v2.0,3954,1.7769332541540575,7.736154835269964,278.828041151162,124.45662626732859,71264,110529,9,0,-89.75400100645619,54.36123762686175,77.27129172337266,71.1889769987597,151.0925979127054,3240.6251360013334,3.5841753908405263,173.0844698750219,compromised,1
127,gateway,v2.1,885,6.839361947948376,0.6364925025933046,9.31608397043894,42.97628339611948,88585,129792,1,1,-57.10561953735563,5.3317816273585175,63.37165278659002,43.83214859547671,390.2089102440156,2665.8688915006005,4.378418401801299,141.3389720466388,compromised,1
461,thermostat,v1.0,1387,4.410735749751764,7.754833540607578,68.67521750839866,272.0217467562138,133071,132411,1,1,-55.20156869416116,62.46694158491598,79.48463023780215,58.50274252006142,230.76150052631073,2414.9527365896593,4.384759117990849,166.97914482834096,counterfeit,2
913,gateway,v1.0,4425,1.8560630362492394,3.0923458409619697,102.39178861087775,171.82587942927293,110321,38459,2,0,-61.975764227855734,38.65282969650523,90.03285653328409,72.10217391796107,350.62728977987615,2744.782217883787,3.9698243390064687,167.77444750032063,genuine,0
969,smart_lock,v1.0,1854,6.309590761205086,1.6962624491993608,85.67283823412372,473.92099983130555,138509,25065,4,1,-38.768468232888566,15.65861582756643,6.005801003050667,47.3753449058088,95.99471988064612,2619.1516535240835,4.2998109173073,210.9515152211952,counterfeit,2
844,smart_lock,v2.1,3735,5.015457526036518,6.350739714585769,193.36087411429574,170.0099947248589,58825,27612,8,0,-80.9097436451676,35.56022368677162,65.15108796055065,60.759364169223204,391.1224962020628,2757.1583417065226,4.388321169342562,205.88792062906504,compromised,1
840,gateway,v1.0,2634,1.7780781980924023,4.8752486439394005,108.34459442019059,270.28669330052355,2459,141807,8,0,-31.97060695404842,37.71548306712909,73.73744573207057,51.3442032872713,111.14501431451096,2743.5930544016414,4.100815708080901,212.9811295929512,compromised,1
646,thermostat,v1.0,4217,2.9636584500913203,7.973725039776295,220.80024405809132,261.6117509257613,9920,120934,2,1,-83.7729727715429,44.643869586465094,40.2993100744555,74.43258676677294,155.79766842409188,2889.899388059923,3.98789828923312,217.8100520654445,counterfeit,2
656,gateway,v2.0,4828,4.230459007324872,7.1713867367855855,214.54687867805745,410.75636001458713,70705,108716,2,0,-54.45949038948224,78.56673197988619,26.54110313558986,65.30233186634199,459.83638896056556,3065.1255478838866,4.009828514575144,235.25457501015194,genuine,0
909,camera,v2.0,1254,5.812846557209438,7.484769933371733,192.72921351911214,218.14529513372744,28427,116180,4,1,-58.27968459150026,37.654222649957205,31.2896278406028,84.60694258322721,414.0330792499887,2914.8040455526157,4.159477102557268,233.8345229006583,counterfeit,2
216,gateway,v2.0,2626,1.5527834779182916,8.620583338547199,257.8615610659275,304.5934502630907,31416,95874,0,0,-88.38139330249399,15.684792923871841,29.825227107984063,35.587793034226166,212.81296172718828,2892.646041874709,3.9594829272284366,239.26338235358395,counterfeit,2
351,robotic_arm,v2.1,2216,5.239439008166795,8.765663727744133,181.57125885364525,245.5156021003176,24661,83411,3,0,-65.38802140662204,88.15224453413764,42.910223007844,81.85467305306086,443.0312899467059,2844.3723918568553,4.050798250256489,239.70943161599052,compromised,1
401,thermostat,v2.0,4719,5.137913667255085,1.1450550233115728,296.9137378222915,120.35019217942042,145796,60285,5,0,-52.88760629140525,31.84539235865907,72.6100665392364,42.37774444919757,432.05988536123294,2969.3703827767404,4.123285843222996,231.75069620502802,genuine,0
594,robotic_arm,v1.0,2654,3.7846906863841943,8.22826320979113,29.56044016865439,67.36174362458908,111275,60021,9,0,-37.149840669483304,43.50333037114806,31.109739326542478,51.78317019710533,278.51333589350656,2949.6286453118614,4.102090267930426,221.46018155556928,compromised,1
666,sensor,v1.0,1079,5.20521116645096,4.07926149551118,243.46224862027162,216.63877857744833,54464,63501,7,0,-52.619475886690836,27.849001837454807,84.01947823946509,37.03043669927196,313.8281199372619,2839.262678677057,4.16717373844468,221.17572167543761,compromised,1
866,gateway,v2.1,1981,2.28202679949412,1.6590677050805123,84.63969512620619,343.00419165587374,59548,114015,8,1,-68.28880031223437,42.335759329433166,9.549761151102961,59.86988059588953,78.08334125987915,2791.3702817099766,4.061979597088489,227.97394043893874,compromised,1
112,smart_lock,v2.1,947,4.656641185039433,3.3864344354945297,192.67380759652463,223.755112828329,114558,77856,6,1,-74.824719605025,64.99818444005993,39.79307115943697,40.606290940069236,13.329643106931133,2693.7255948313677,4.093462182299292,227.75058718654796,compromised,1
413,gateway,v1.1,1184,7.089501189567384,2.0139811261561635,279.68433661687254,281.3980440862046,21383,128208,9,1,-87.75286016526279,80.47706927824619,79.09082244947517,76.51169106688766,384.80234470066915,2617.680296982513,4.244373499862228,230.45282450221305,compromised,1
